word,reading,meaning,example,example_vi
恩恵,おんけい,"ân huệ, lợi ích",私たちは自然の恩恵を受けて生活している。,Chúng ta đang sống nhờ những lợi ích từ thiên nhiên.
潜伏,せんぷく,"tiềm tàng, ẩn náu",そのウイルスは長期間体内に潜伏することがある。,Loại virus đó có thể ẩn náu trong cơ thể trong thời gian dài.
貧富,ひんぷ,khoảng cách giàu nghèo,貧富の差が拡大していると言われている。,Người ta nói rằng khoảng cách giàu nghèo đang ngày càng mở rộng.
促す,うながす,"thúc đẩy, thúc giục",彼の言葉が私にやる気を促した。,Lời nói của anh ấy đã thúc đẩy động lực của tôi.
巡る,めぐる,"xoay quanh, đi vòng quanh",この問題を巡って議論が続いている。,Cuộc tranh luận vẫn tiếp tục xoay quanh vấn đề này.
怠る,おこたる,"bỏ bê, lơ là",健康管理を怠ると病気になりやすい。,Nếu lơ là việc quản lý sức khỏe thì dễ bị bệnh.
滞る,とどこおる,"tồn đọng, đình trệ",台風の影響で電車のダイヤが滞っている。,"Do ảnh hưởng của bão, lịch trình tàu bị đình trệ."
崩れる,くずれる,"sạt lở, sụp đổ",大雨で山の斜面が崩れた。,"Do mưa lớn, sườn núi đã bị sạt lở."
募る,つのる,"chiêu mộ, ngày càng tăng",ボランティアを募るためのポスターを作った。,Đã làm áp phích để chiêu mộ tình nguyện viên.
粘る,ねばる,"kiên trì, bám trụ",最後まで粘って交渉を続けた。,Đã kiên trì đàm phán đến cùng.
憤る,いきどおる,"phẫn nộ, giận dữ",不公平な扱いに彼は憤った。,Anh ấy đã phẫn nộ trước sự đối xử bất công.
諭す,さとす,"dạy bảo, khuyên răn",先生は生徒を優しく諭した。,Giáo viên đã nhẹ nhàng khuyên bảo học sinh.
賄う,まかなう,"trang trải, chi trả",アルバイト代で学費を賄っている。,Đang trang trải học phí bằng tiền làm thêm.
慕う,したう,"ngưỡng mộ, yêu mến",多くの学生が彼の人柄を慕っている。,Nhiều học sinh ngưỡng mộ tính cách của thầy ấy.
励む,はげむ,"nỗ lực, chuyên tâm",彼は毎日研究に励んでいる。,Anh ấy hằng ngày chuyên tâm nghiên cứu.
偏る,かたよる,"nghiêng, lệch",彼の意見は少し偏っていると思う。,Tôi nghĩ ý kiến của anh ấy hơi lệch lạc.
阻む,はばむ,"cản trở, ngăn cản",悪天候が登山隊の前進を阻んだ。,Thời tiết xấu đã cản trở bước tiến của đoàn leo núi.
戒める,いましめる,"cảnh báo, răn dạy",自らの油断を戒める必要がある。,Cần phải tự răn mình về sự chủ quan của bản thân.
漂う,ただよう,"phảng phất, lơ lửng",部屋にコーヒーの香りが漂っている。,Hương cà phê đang phảng phất trong phòng.
拒む,こばむ,"từ chối, cự tuyệt",彼はその提案をきっぱりと拒んだ。,Anh ấy đã kiên quyết từ chối đề xuất đó.
唱える,となえる,"đề xướng, nêu lên",彼は新しい理論を唱えた。,Anh ấy đã đề xướng một lý thuyết mới.
値する,あたいする,"đáng, xứng đáng",彼の努力は称賛に値する。,Nỗ lực của anh ấy xứng đáng được khen ngợi.
蓄える,たくわえる,"tích trữ, tích lũy",将来のためにお金を蓄えている。,Đang tích lũy tiền bạc cho tương lai.
廃れる,すたれる,"lỗi thời, suy tàn",その習慣は次第に廃れていった。,Tập tục đó dần dần trở nên lỗi thời.
潤す,うるおす,"làm ẩm, làm phong phú",雨が乾いた大地を潤した。,Mưa đã làm ẩm mảnh đất khô cằn.
託す,たくす,"ủy thác, gửi gắm",彼は自分の夢を息子に託した。,Anh ấy đã gửi gắm ước mơ của mình cho con trai.
率いる,ひきいる,"dẫn dắt, chỉ huy",彼はチームを率いて優勝した。,Anh ấy đã dẫn dắt đội giành chức vô địch.
遮る,さえぎる,"che chắn, cắt ngang",大きなカーテンが日差しを遮っている。,Tấm rèm lớn đang che chắn ánh nắng.
揉める,もめる,"mâu thuẫn, xích mích",遺産分割のことで兄弟が揉めている。,Anh em đang mâu thuẫn về việc chia tài sản thừa kế.
咎める,とがめる,"trách cứ, mắng mỏ",彼のミスを誰も咎めなかった。,Không ai trách cứ lỗi lầm của anh ấy.
鈍る,にぶる,"cùn đi, mai một",運動不足で反応が鈍っている。,Do thiếu vận động nên phản xạ bị chậm đi.
俯く,うつむく,cúi đầu,叱られて彼は黙って俯いた。,"Bị mắng, anh ấy im lặng cúi đầu."
煽てる,おだてる,"xu nịnh, tâng bốc",彼はよく人を煽てて仕事をさせる。,Anh ấy hay tâng bốc người khác để nhờ làm việc.
脅す,おどす,đe dọa,犯人は店員をナイフで脅した。,Kẻ phạm tội đã dùng dao đe dọa nhân viên cửa hàng.
賢い,かしこい,"thông minh, khôn ngoan",この犬はとても賢い。,Con chó này rất thông minh.
潔い,いさぎよい,"thẳng thắn, hiên ngang",彼は潔く自分の非を認めた。,Anh ấy đã thẳng thắn thừa nhận lỗi của mình.
尊い,たっとい,quý báu,命はこの世で最も尊いものだ。,Sinh mạng là điều quý báu nhất trên đời.
粗い,あらい,"thô, gồ ghề",この布は表面が粗い。,Bề mặt của tấm vải này thô ráp.
淡い,あわい,"nhạt, nhẹ",淡いピンク色のドレスを買った。,Đã mua chiếc váy màu hồng nhạt.
健やか,すこやか,khỏe mạnh,子供の健やかな成長を願う。,Mong con cái lớn lên khỏe mạnh.
華やか,はなやか,"lộng lẫy, tráng lệ",パーティーは華やかな雰囲気だった。,Bữa tiệc mang bầu không khí lộng lẫy.
顕著,けんちょ,"nổi bật, rõ rệt",彼の成長は顕著に表れている。,Sự tiến bộ của anh ấy thể hiện rõ rệt.
豪快,ごうかい,"sảng khoái, hào sảng",彼は豪快に笑った。,Anh ấy cười một cách sảng khoái.
猛烈,もうれつ,mãnh liệt,猛烈な勢いで雨が降ってきた。,Mưa đổ xuống với cường độ mãnh liệt.
巧妙,こうみょう,"khéo léo, tinh vi",犯人は巧妙な手口で人をだました。,Kẻ phạm tội đã dùng thủ đoạn tinh vi để lừa người.
一概に,いちがいに,không nhất thiết,この方法が一概に正しいとは言えない。,Không thể nói phương pháp này nhất thiết đúng.
尚更,なおさら,"càng, hơn nữa",雨が降ってきたので、なおさら行きたくなくなった。,Vì trời mưa nên càng không muốn đi hơn.
強いて,しいて,"bắt buộc, gượng ép",強いて言うなら、こちらの方が好きだ。,"Nếu bắt buộc phải nói, thì tôi thích cái này hơn."
至って,いたって,"rất, vô cùng",彼は至って真面目な性格だ。,Anh ấy có tính cách vô cùng nghiêm túc.
予め,あらかじめ,"trước, sẵn",予め会場の場所を確認しておいた。,Đã xác nhận trước địa điểm hội trường.

