word,reading,meaning,example,example_vi
進捗状況,しんちょくじょうきょう,tình hình tiến độ,現在のプロジェクトの進捗状況をご報告します。,Tôi xin báo cáo tình hình tiến độ hiện tại của dự án.
持ち帰る,もちかえる,mang về (xem xét thêm),この件は一度持ち帰って検討いたします。,"Về việc này, tôi xin mang về xem xét thêm một lần."
擦り合わせ,すりあわせ,điều chỉnh cho khớp ý kiến,来週、詳細について擦り合わせを行いましょう。,"Tuần sau, hãy cùng điều chỉnh cho khớp các chi tiết."
落としどころ,おとしどころ,"điểm dung hòa, thỏa hiệp",お互いの落としどころを見つけましょう。,Hãy cùng tìm điểm dung hòa cho cả hai bên.
根回し,ねまわし,vận động hành lang trước (thống nhất ý kiến ngầm),会議の前に関係者へ根回しをしておいた。,Trước cuộc họp tôi đã vận động thống nhất ý kiến trước với các bên liên quan.
持ち越し,もちこし,"dời sang (kỳ sau, buổi sau)",この議題は次回に持ち越しとなりました。,Chủ đề này đã được dời sang lần họp tiếp theo.
認識合わせ,にんしきあわせ,thống nhất nhận thức/hiểu biết chung,プロジェクトの方向性について認識合わせをしたい。,Tôi muốn thống nhất nhận thức chung về hướng đi của dự án.
すり合わせる,すりあわせる,khớp/điều chỉnh cho thống nhất,部署間でスケジュールをすり合わせる必要がある。,Cần điều chỉnh lịch trình cho thống nhất giữa các bộ phận.
ネクストアクション,ねくすとあくしょん,bước hành động tiếp theo,会議の最後にネクストアクションを確認しましょう。,Cuối buổi họp hãy cùng xác nhận bước hành động tiếp theo.
納期,のうき,thời hạn giao hàng,納期は来月末までとなっております。,Thời hạn giao hàng là đến cuối tháng sau.
見積もり,みつもり,"báo giá, dự toán",詳細な見積もりを作成いたします。,Tôi sẽ lập bảng báo giá chi tiết.
値引き,ねびき,"giảm giá, chiết khấu",大量注文の場合、値引きが可能です。,"Nếu đặt hàng số lượng lớn, có thể giảm giá."
契約書,けいやくしょ,hợp đồng,契約書にサインをお願いいたします。,Xin quý vị ký vào hợp đồng.
発注,はっちゅう,đặt hàng (từ phía mua),来週中に発注を行う予定です。,Dự kiến sẽ đặt hàng trong tuần sau.
与信,よしん,"tín dụng, độ tin cậy tài chính",新規取引先の与信を確認します。,Chúng tôi sẽ kiểm tra tín dụng của đối tác mới.
競合他社,きょうごうたしゃ,đối thủ cạnh tranh,競合他社の動向を分析する必要がある。,Cần phân tích động thái của các đối thủ cạnh tranh.
市場調査,しじょうちょうさ,nghiên cứu thị trường,新製品発売前に市場調査を実施した。,Trước khi ra mắt sản phẩm mới đã thực hiện nghiên cứu thị trường.
採算が取れる,さいさんがとれる,"có lãi, đủ bù chi phí",このプランなら十分採算が取れる。,Với kế hoạch này thì đủ khả năng có lãi.
損益分岐点,そんえきぶんきてん,điểm hòa vốn,損益分岐点を計算してから投資を判断する。,Tính điểm hòa vốn trước khi quyết định đầu tư.
責任を持って,せきにんをもって,với tinh thần trách nhiệm,最後まで責任を持って対応いたします。,Tôi sẽ xử lý đến cùng với tinh thần trách nhiệm.
徹底する,てっていする,"triệt để, làm đến nơi đến chốn",品質管理を徹底する必要がある。,Cần quản lý chất lượng một cách triệt để.
前向きに検討する,まえむきにけんとうする,xem xét theo hướng tích cực,ご提案について前向きに検討いたします。,Chúng tôi sẽ xem xét đề xuất của quý vị theo hướng tích cực.
優先順位,ゆうせんじゅんい,thứ tự ưu tiên,タスクの優先順位を整理しましょう。,Hãy sắp xếp lại thứ tự ưu tiên của các công việc.
臨機応変,りんきおうへん,linh hoạt tùy tình huống,現場では臨機応変な対応が求められる。,Tại hiện trường cần có sự ứng phó linh hoạt tùy tình huống.
即戦力,そくせんりょく,người có thể làm việc ngay (không cần đào tạo lại),即戦力として活躍が期待されている。,Được kỳ vọng sẽ hoạt động hiệu quả ngay như một nhân sự có kinh nghiệm.
業務効率化,ぎょうむこうりつか,tối ưu hóa hiệu suất công việc,ツール導入により業務効率化を図る。,Nhằm tối ưu hóa hiệu suất công việc bằng cách áp dụng công cụ mới.
属人化,ぞくじんか,phụ thuộc vào cá nhân (thiếu quy trình chung),業務が属人化しないよう、マニュアルを整備した。,Đã chuẩn bị sổ tay hướng dẫn để công việc không bị phụ thuộc vào cá nhân.
根拠,こんきょ,"căn cứ, cơ sở",提案には明確な根拠が必要だ。,Đề xuất cần có căn cứ rõ ràng.
裁量,さいりょう,"quyền quyết định, tự chủ",この業務は個人の裁量に任されている。,Công việc này được giao cho quyền tự chủ quyết định của cá nhân.
有給休暇,ゆうきゅうきゅうか,nghỉ phép có lương,来週、有給休暇を取得したいと思います。,"Tuần sau, tôi muốn xin nghỉ phép có lương."
申請する,しんせいする,"làm đơn xin, đăng ký",経費精算を申請してください。,Xin hãy làm đơn thanh toán chi phí.
承認する,しょうにんする,phê duyệt,上司が休暇申請を承認した。,Cấp trên đã phê duyệt đơn xin nghỉ phép.
引き継ぎ,ひきつぎ,bàn giao công việc,退職前に業務の引き継ぎを行う。,Trước khi nghỉ việc sẽ tiến hành bàn giao công việc.
勤怠管理,きんたいかんり,quản lý chấm công,勤怠管理システムで出退勤を記録する。,Ghi nhận giờ vào/ra làm bằng hệ thống quản lý chấm công.
画面共有,がめんきょうゆう,chia sẻ màn hình,それでは画面共有をさせていただきます。,Vậy thì tôi xin phép chia sẻ màn hình.
ミュートになっております,みゅーとになっております,đang bị tắt tiếng (micro),すみません、ミュートになっておりました。,"Xin lỗi, micro của tôi bị tắt tiếng mất rồi."
音声が聞こえません,おんせいがきこえません,không nghe thấy tiếng,恐れ入りますが、音声が聞こえません。,"Xin lỗi, tôi không nghe thấy tiếng của quý vị."
接続が不安定で,せつぞくがふあんていで,do đường truyền không ổn định,接続が不安定で、少し聞き取りにくいです。,Do đường truyền không ổn định nên hơi khó nghe.
入り直します,はいりなおします,tôi sẽ vào lại (phòng họp),一度接続を切って、入り直します。,Tôi sẽ ngắt kết nối một lần rồi vào lại.
録画してもよろしいでしょうか,ろくがしてもよろしいでしょうか,tôi có thể ghi hình cuộc họp được không,会議の内容を録画してもよろしいでしょうか。,Tôi có thể ghi hình lại nội dung cuộc họp này được không ạ.
チャットに貼っておきます,ちゃっとにはっておきます,tôi sẽ dán vào khung chat,リンクをチャットに貼っておきます。,Tôi sẽ dán đường link vào khung chat.
挙手をお願いします,きょしゅをおねがいします,xin vui lòng giơ tay (phát biểu),ご質問がある方は挙手をお願いします。,Ai có câu hỏi xin vui lòng giơ tay.
お先にどうぞ,おさきにどうぞ,xin mời quý vị nói trước,あ、お先にどうぞ。,"À, xin mời quý vị nói trước ạ."
被りましたね,かぶりましたね,chúng ta nói trùng nhau rồi nhỉ,あ、被りましたね。どうぞ続けてください。,"À, chúng ta nói trùng nhau rồi nhỉ. Xin mời quý vị nói tiếp."
カメラをオンにしていただけますか,かめらをおんにしていただけますか,quý vị có thể bật camera được không,恐れ入りますが、カメラをオンにしていただけますか。,"Xin lỗi làm phiền, quý vị có thể bật camera được không ạ."
落ちてしまいました,おちてしまいました,bị rớt mạng/thoát ra ngoài,すみません、さっき落ちてしまいました。,"Xin lỗi, vừa nãy tôi bị rớt mạng mất."
画面が固まっています,がめんがかたまっています,màn hình đang bị đứng hình,そちらの画面が固まっているようです。,Có vẻ như màn hình phía quý vị đang bị đứng hình.
背景を非表示にする,はいけいをひひょうじにする,ẩn phông nền (ảo),背景を非表示にしてから会議に入る。,Tôi sẽ ẩn phông nền ảo trước khi vào họp.
時間になりましたので,じかんになりましたので,vì đã đến giờ nên,お時間になりましたので、始めさせていただきます。,Vì đã đến giờ nên tôi xin phép bắt đầu.
本日はご参加いただき,ほんじつはごさんかいただき,hôm nay cảm ơn quý vị đã tham gia,本日はご参加いただき、ありがとうございます。,Hôm nay cảm ơn quý vị đã tham gia cuộc họp.
接続を確認させてください,せつぞくをかくにんさせてください,cho tôi kiểm tra kết nối một chút,開始前に、皆様の接続を確認させてください。,"Trước khi bắt đầu, xin cho tôi kiểm tra kết nối của mọi người."
共有をやめる,きょうゆうをやめる,dừng chia sẻ màn hình,説明が終わったので、共有をやめます。,Đã giải thích xong nên tôi xin dừng chia sẻ màn hình.
評価面談,ひょうかめんだん,buổi phỏng vấn đánh giá,来週、上司との評価面談があります。,Tuần sau tôi có buổi phỏng vấn đánh giá với cấp trên.
自己評価,じこひょうか,tự đánh giá bản thân,まず自己評価シートを記入してください。,Trước tiên xin vui lòng điền vào bảng tự đánh giá.
目標達成率,もくひょうたっせいりつ,tỷ lệ hoàn thành mục tiêu,今期の目標達成率は120%でした。,Tỷ lệ hoàn thành mục tiêu kỳ này là 120%.
改善点,かいぜんてん,điểm cần cải thiện,改善点についてフィードバックをいただけますか。,Quý vị có thể cho tôi phản hồi về điểm cần cải thiện được không ạ.
強み,つよみ,điểm mạnh,あなたの強みを活かせる部署だと思います。,Tôi nghĩ đây là bộ phận có thể phát huy điểm mạnh của bạn.
弱み,よわみ,điểm yếu,自分の弱みを客観的に把握することが大切だ。,Việc nắm rõ điểm yếu của bản thân một cách khách quan là rất quan trọng.
昇進,しょうしん,thăng chức,来年、彼は昇進する見込みだ。,"Năm sau, anh ấy có khả năng sẽ được thăng chức."
人事評価,じんじひょうか,đánh giá nhân sự,人事評価は半期に一度行われます。,Đánh giá nhân sự được thực hiện mỗi nửa năm một lần.
フィードバックをいただく,ふぃーどばっくをいただく,nhận được phản hồi/góp ý,上司から具体的なフィードバックをいただいた。,Tôi đã nhận được phản hồi cụ thể từ cấp trên.
成果を出す,せいかをだす,đạt được thành quả,短期間で成果を出すことができた。,Tôi đã đạt được thành quả trong thời gian ngắn.
評価に反映される,ひょうかにはんえいされる,được phản ánh vào đánh giá,この実績は来期の評価に反映されます。,Thành tích này sẽ được phản ánh vào đánh giá kỳ tới.
課題,かだい,vấn đề/nhiệm vụ cần giải quyết,現状の課題を整理してから改善策を考えよう。,Hãy sắp xếp lại các vấn đề hiện tại trước khi nghĩ cách cải thiện.
期待に応える,きたいにこたえる,đáp ứng được kỳ vọng,会社の期待に応えられるよう努力します。,Tôi sẽ nỗ lực để đáp ứng được kỳ vọng của công ty.
評価が下がる,ひょうかがさがる,đánh giá bị giảm sút,納期遅れが続くと評価が下がってしまう。,Nếu tiếp tục trễ hạn giao hàng thì đánh giá sẽ bị giảm sút.
昇給,しょうきゅう,tăng lương,来月から昇給することが決まった。,Đã quyết định sẽ tăng lương kể từ tháng sau.
キャリアプラン,きゃりあぷらん,kế hoạch sự nghiệp,今後のキャリアプランについて相談したい。,Tôi muốn trao đổi về kế hoạch sự nghiệp sắp tới.
客観的に見て,きゃっかんてきにみて,xét một cách khách quan,客観的に見て、今回の対応は適切だったと思う。,"Xét một cách khách quan, tôi nghĩ cách xử lý lần này là phù hợp."
ご多忙のところ,ごたぼうのところ,giữa lúc quý vị bận rộn,ご多忙のところ恐縮ですが、ご確認をお願いいたします。,"Giữa lúc quý vị bận rộn, xin lỗi vì làm phiền, mong quý vị xác nhận giúp."
お手隙の際に,おてすきのさいに,khi nào quý vị rảnh tay,お手隙の際にご覧いただければ幸いです。,Rất mong khi nào quý vị rảnh tay có thể xem qua giúp.
参考までに,さんこうまでに,để tham khảo thêm,参考までに、過去のデータも共有いたします。,"Để tham khảo thêm, tôi xin chia sẻ cả dữ liệu trước đây."
重ねてお詫び申し上げます,かさねておわびもうしあげます,một lần nữa xin thành thật xin lỗi,ご迷惑をおかけしましたこと、重ねてお詫び申し上げます。,"Về việc đã gây phiền phức, tôi xin một lần nữa thành thật xin lỗi."
お力添え,おちからぞえ,"sự giúp đỡ, hỗ trợ",皆様のお力添えのおかげで成功いたしました。,Nhờ có sự giúp đỡ của mọi người mà đã thành công.
ご一報ください,ごいっぽうください,xin vui lòng báo cho tôi biết,ご都合が変わりましたら、ご一報ください。,"Nếu lịch trình của quý vị thay đổi, xin vui lòng báo cho tôi biết."
お心遣い,おこころづかい,"sự quan tâm, chu đáo",温かいお心遣い、誠にありがとうございます。,Thành thật cảm ơn sự quan tâm ấm áp của quý vị.
恐縮ですが,きょうしゅくですが,"xin lỗi vì mạo muội, nhưng",恐縮ですが、もう一度ご説明いただけますか。,"Xin lỗi vì mạo muội, quý vị có thể giải thích lại một lần nữa được không ạ."
ご容赦ください,ごようしゃください,xin quý vị lượng thứ,不手際がございましたら、ご容赦ください。,"Nếu có sơ suất gì, xin quý vị lượng thứ cho."
お目にかかれて光栄です,おめにかかれてこうえいです,rất vinh hạnh được gặp quý vị,本日はお目にかかれて光栄です。,Hôm nay rất vinh hạnh được gặp quý vị.
ご足労をおかけします,ごそくろうをおかけします,làm phiền quý vị phải đi lại,本日はご足労をおかけしまして、恐縮です。,"Hôm nay làm phiền quý vị phải đi lại, thật ngại quá."
お気遣いなく,おきづかいなく,xin đừng bận tâm/khách sáo,お気遣いなく、どうぞ楽になさってください。,"Xin đừng bận tâm, mời quý vị cứ thoải mái."
